"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"140","RT @SteevanSaldana: Informatica is honored to share a #BigData ecosystem partnership with @Deloitte https://t.co/XapEQNl29s #BigDataReady",FALSE,0,NA,2015-11-12 04:01:54,FALSE,NA,"664654323272450048",NA,"<a href=""https://gamedevbrain.wordpress.com/"" rel=""nofollow"">BigDataTweetBot</a>","BigDataTweetBot",1,TRUE,FALSE,NA,NA
"141","RT @joblance_jobs: #Freelance #job - Operations Management Project Optimization by jjinvito https://t.co/dTyePXbbBZ #bigdata",FALSE,0,NA,2015-11-12 04:01:49,FALSE,NA,"664654305329197056",NA,"<a href=""https://gamedevbrain.wordpress.com/"" rel=""nofollow"">BigDataTweetBot</a>","BigDataTweetBot",1,TRUE,FALSE,NA,NA
"142","RT @kdnuggets: How to discover stolen data using #Hadoop and #BigData? #Fraud #Detection https://t.co/0iE60zND9c https://t.co/ycdROTiMbZ",FALSE,0,NA,2015-11-12 04:01:43,FALSE,NA,"664654279785885698",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jingbay",11,TRUE,FALSE,NA,NA
"143","RT @Ethical_Corp: #BigData &amp; #Sustainability: How it impacts your core business strategy - by @Steve_Ethical https://t.co/8P4QXLwLYL",FALSE,0,NA,2015-11-12 04:01:36,FALSE,NA,"664654250731962368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DanishforPeace",5,TRUE,FALSE,NA,NA
"144","RT @DellBizSA: What is the No. 1 #BigData challenge you face? #StrataHadoop",FALSE,0,NA,2015-11-12 04:01:36,FALSE,NA,"664654248718630912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carogacion",5,TRUE,FALSE,NA,NA
"145","Meg Jardine from @georgeinstitute outlining potential in community path data #45andUp2015 #BigData",FALSE,3,NA,2015-11-12 04:01:32,FALSE,NA,"664654233392672768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","medicalmedia",0,FALSE,FALSE,NA,NA
"146","Retweeted HPE Big Data (@HPE_BigData):

#HPE and Yad Vashem host Israel's first #BigData Hackathon:... https://t.co/LPf4wKtG1U",FALSE,1,NA,2015-11-12 04:01:21,FALSE,NA,"664654187741888512",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","SOWACOMPUTACION",0,FALSE,FALSE,NA,NA
"147","RT @dr_morton: Time is NOT Money...

In Entrepreneurship Time is a CRITICAL Resource that Money Can't buy. 

Computing &amp; #BigData can, howe…",FALSE,0,NA,2015-11-12 04:01:18,FALSE,NA,"664654175943323648",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Ruben_Knudsen",21,TRUE,FALSE,NA,NA
"148","Hasbro Inc.: 161 (+0.06%) https://t.co/VpCzEURaYU $HAS #Hasbro #Sentiment #Stock #Analysis #BigData",FALSE,1,NA,2015-11-12 04:01:17,FALSE,NA,"664654171497504769",NA,"<a href=""http://www.stockfluence.com"" rel=""nofollow"">StockFluence tweeter</a>","StockFluence",0,FALSE,FALSE,NA,NA
"149","RT @HPE_BigData: #HPE and Yad Vashem host Israel's first #BigData Hackathon: https://t.co/6Nl2E4mwwj https://t.co/Qnjvausgjw",FALSE,0,NA,2015-11-12 04:01:17,FALSE,NA,"664654170280988673",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SOWACOMPUTACION",1,TRUE,FALSE,NA,NA
"150","How does #Netflix know which movies you might like? Research improves #bigdata #analytics https://t.co/UyaEpexzke https://t.co/oC1S825byS",FALSE,11,NA,2015-11-12 04:01:03,FALSE,NA,"664654110545879040",NA,"<a href=""http://www.oktopost.com"" rel=""nofollow"">Oktopost</a>","akashbad",2,FALSE,FALSE,NA,NA
