"","Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus","Games","GP"
"184","201210310POR","LAL","Steve Nash","nashst01","16:02",1,3,0.333,0,1,0,0,0,NA,0,4,4,4,1,0,2,1,2,0,NA,1
"185","201210310POR","LAL","Steve Blake","blakest01","27:45:00",3,4,0.75,1,1,1,0,0,NA,1,2,3,3,2,0,0,0,7,3,NA,1
"186","201210310POR","LAL","Antawn Jamison","jamisan01","13:14",0,2,0,0,2,0,2,2,1,0,1,1,0,0,0,0,0,2,-21,NA,1
"187","201210310POR","LAL","Devin Ebanks","ebankde01","12:22",1,3,0.333,0,1,0,0,0,NA,1,0,1,1,0,0,2,3,2,-5,NA,1
"188","201210310POR","LAL","Jordan Hill","hilljo01","8:21",0,4,0,0,0,NA,1,2,0.5,2,2,4,0,0,0,2,3,1,-20,NA,1
"189","201210310POR","LAL","Jodie Meeks","meeksjo01","5:01",1,2,0.5,1,1,1,0,0,NA,0,0,0,0,0,0,0,1,3,-13,NA,1
"190","201210310POR","LAL","Chris Duhon","duhonch01","4:13",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,-13,NA,1
"191","201210310POR","LAL","Robert Sacre","sacrero01","0:49",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-4,NA,1
"192","201210310POR","POR","Nicolas Batum","batumni01","40:25:00",9,16,0.563,3,9,0.333,5,7,0.714,4,2,6,1,3,1,1,2,26,0,NA,1
"193","201210310POR","POR","LaMarcus Aldridge","aldrila01","38:42:00",9,20,0.45,0,0,NA,1,1,1,0,3,3,0,0,2,1,2,19,2,NA,1
"194","201210310POR","POR","Wesley Matthews","matthwe02","36:51:00",7,11,0.636,4,6,0.667,4,6,0.667,0,2,2,2,4,0,0,5,22,5,NA,1
"195","201210310POR","POR","Damian Lillard","lillada01","34:59:00",7,17,0.412,1,4,0.25,8,8,1,0,3,3,11,1,0,6,2,23,16,NA,1
"196","201210310POR","POR","J.J. Hickson","hicksjj01","24:40:00",5,10,0.5,0,0,NA,3,3,1,5,5,10,1,1,2,3,4,13,-7,NA,1
"197","201210310POR","POR","Meyers Leonard","leoname01","23:20",1,2,0.5,0,0,NA,2,2,1,0,3,3,1,0,0,0,3,4,17,NA,1
"198","201210310POR","POR","Sasha Pavlovic","pavloal01","18:05",3,4,0.75,1,1,1,0,1,0,1,0,1,1,1,0,0,0,7,13,NA,1
"199","201210310POR","POR","Nolan Smith","smithno01","13:40",1,2,0.5,0,0,NA,0,0,NA,0,0,0,2,0,0,1,0,2,-4,NA,1
"200","201210310POR","POR","Jared Jeffries","jeffrja01","9:18",0,1,0,0,0,NA,0,0,NA,0,2,2,0,0,0,0,2,0,8,NA,1
"201","201210310TOR","IND","Gerald Green","greenge01","36:41:00",2,7,0.286,2,4,0.5,0,0,NA,0,2,2,2,0,1,6,1,6,1,NA,1
"202","201210310TOR","IND","Paul George","georgpa01","35:10:00",7,15,0.467,0,0,NA,0,0,NA,2,13,15,5,0,1,5,2,14,3,NA,1
"203","201210310TOR","IND","George Hill","hillge01","32:48:00",3,9,0.333,1,4,0.25,1,2,0.5,0,1,1,7,0,1,1,3,8,2,NA,1
"204","201210310TOR","IND","Roy Hibbert","hibbero01","29:14:00",6,13,0.462,0,0,NA,2,4,0.5,3,7,10,3,1,5,0,3,14,7,NA,1
"205","201210310TOR","IND","David West","westda01","27:54:00",12,19,0.632,0,1,0,1,1,1,0,2,2,1,1,0,0,3,25,0,NA,1
"206","201210310TOR","IND","Tyler Hansbrough","hansbty01","20:07",2,5,0.4,0,0,NA,4,4,1,0,3,3,1,0,0,0,0,8,2,NA,1
"207","201210310TOR","IND","Ian Mahinmi","mahinia01","18:44",0,1,0,0,0,NA,1,2,0.5,2,3,5,0,0,2,4,3,1,-5,NA,1
"208","201210310TOR","IND","D.J. Augustin","augusdj01","15:12",1,4,0.25,1,1,1,2,3,0.667,0,1,1,2,1,0,2,1,5,0,NA,1
"209","201210310TOR","IND","Lance Stephenson","stephla01","12:50",2,3,0.667,1,1,1,0,0,NA,1,3,4,0,0,0,0,0,5,-1,NA,1
"210","201210310TOR","IND","Sam Young","youngsa01","11:21",2,2,1,0,0,NA,0,0,NA,1,2,3,1,0,0,0,0,4,1,NA,1
"211","201210310TOR","TOR","Kyle Lowry","lowryky01","36:12:00",6,11,0.545,2,3,0.667,7,7,1,1,6,7,8,5,0,2,3,21,-1,NA,1
"212","201210310TOR","TOR","Andrea Bargnani","bargnan01","34:22:00",4,15,0.267,1,4,0.25,7,8,0.875,0,3,3,1,0,3,3,2,16,-3,NA,1
"213","201210310TOR","TOR","DeMar DeRozan","derozde01","27:29:00",5,14,0.357,0,0,NA,0,0,NA,3,2,5,1,0,1,0,1,10,-5,NA,1
"214","201210310TOR","TOR","Landry Fields","fieldla01","24:05:00",0,6,0,0,1,0,0,0,NA,0,2,2,1,1,0,1,1,0,6,NA,1
"215","201210310TOR","TOR","Jonas Valanciunas","valanjo01","23:05",6,15,0.4,0,0,NA,0,0,NA,6,4,10,0,0,1,0,4,12,-7,NA,1
"216","201210310TOR","TOR","Jose Calderon","caldejo01","25:43:00",6,12,0.5,3,6,0.5,0,0,NA,0,1,1,3,1,0,1,1,15,-8,NA,1
"217","201210310TOR","TOR","Alan Anderson","anderal01","18:50",0,3,0,0,1,0,0,0,NA,1,1,2,4,3,0,1,0,0,1,NA,1
"218","201210310TOR","TOR","Amir Johnson","johnsam01","17:05",2,6,0.333,0,0,NA,1,2,0.5,3,4,7,0,2,1,0,3,5,4,NA,1
