"","X","Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus","Games","GP","Game.Date"
"88",88,"201210310DET","HOU","Toney Douglas","douglto01","12:33",0,5,0,0,2,0,2,2,1,0,0,0,1,0,0,1,1,2,-14,NA,1,2012-10-31
"89",89,"201210310DET","HOU","Daequan Cook","cookda02","5:54",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-3,NA,1,2012-10-31
"90",90,"201210310DET","DET","Rodney Stuckey","stuckro01","36:47:00",1,10,0.1,0,3,0,7,8,0.875,0,2,2,6,1,0,0,0,9,-19,NA,1,2012-10-31
"91",91,"201210310DET","DET","Brandon Knight","knighbr03","36:45:00",5,15,0.333,1,4,0.25,4,6,0.667,0,4,4,4,1,0,2,0,15,-12,NA,1,2012-10-31
"92",92,"201210310DET","DET","Greg Monroe","monrogr01","35:07:00",7,13,0.538,0,0,NA,0,3,0,2,6,8,4,3,0,4,4,14,-9,NA,1,2012-10-31
"93",93,"201210310DET","DET","Tayshaun Prince","princta01","32:22:00",4,9,0.444,0,1,0,4,4,1,0,4,4,1,1,0,1,0,12,-8,NA,1,2012-10-31
"94",94,"201210310DET","DET","Jason Maxiell","maxieja01","24:00:00",4,7,0.571,0,0,NA,2,2,1,4,4,8,0,0,2,2,2,10,4,NA,1,2012-10-31
"95",95,"201210310DET","DET","Jonas Jerebko","jerebjo01","19:32",2,7,0.286,0,1,0,3,3,1,4,0,4,1,1,0,0,2,7,-10,NA,1,2012-10-31
"96",96,"201210310DET","DET","Kyle Singler","singlky01","15:38",4,5,0.8,2,2,1,0,0,NA,0,2,2,0,0,1,1,0,10,-1,NA,1,2012-10-31
"97",97,"201210310DET","DET","Kim English","engliki01","13:47",3,6,0.5,2,4,0.5,0,0,NA,0,0,0,3,2,0,1,1,8,8,NA,1,2012-10-31
