"","X","Game.ID","Team","Player","Player.ID","Minutes.Played","Field.Goals","Field.Goal.Attempts","Field.Goal.Percentage","X3.Point.Field.Goals","X3.Point.Field.Goal.Attempts","X3.Point.Field.Goal.Percentage","Free.Throws","Free.Throw.Attempts","Free.Throw.Percentage","Offensive.Rebounds","Defensive.Rebounds","Total.Rebounds","Assists","Steals","Blocks","Turnovers","Personal.Fouls","Points","Plus.Minus","Games","GP","Game.Date"
"3197",3197,"201211190MEM","MEM","Quincy Pondexter","pondequ01","26:12:00",3,7,0.429,0,3,0,0,0,NA,1,1,2,1,2,0,0,2,6,-13,NA,1,2012-11-19
"3198",3198,"201211190MEM","MEM","Jerryd Bayless","bayleje01","19:06",4,8,0.5,1,5,0.2,0,2,0,0,1,1,3,2,0,2,2,9,-3,NA,1,2012-11-19
"3199",3199,"201211190MEM","MEM","Marreese Speights","speigma01","13:20",4,7,0.571,0,0,NA,0,0,NA,1,2,3,1,0,2,1,4,8,-5,NA,1,2012-11-19
"3200",3200,"201211190MEM","MEM","Wayne Ellington","ellinwa01","8:12",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,-3,NA,1,2012-11-19
"3201",3201,"201211190SAS","LAC","Chris Paul","paulch01","36:13:00",9,16,0.563,0,3,0,1,1,1,2,2,4,8,1,0,3,2,19,-4,NA,1,2012-11-19
"3202",3202,"201211190SAS","LAC","Blake Griffin","griffbl01","34:24:00",8,18,0.444,0,0,NA,0,4,0,3,9,12,0,1,0,3,1,16,-3,NA,1,2012-11-19
"3203",3203,"201211190SAS","LAC","DeAndre Jordan","jordade01","24:14:00",5,8,0.625,0,0,NA,3,6,0.5,3,2,5,0,0,2,1,3,13,-1,NA,1,2012-11-19
"3204",3204,"201211190SAS","LAC","Willie Green","greenwi01","16:50",1,4,0.25,0,2,0,0,0,NA,0,3,3,0,0,2,0,1,2,-7,NA,1,2012-11-19
"3205",3205,"201211190SAS","LAC","Caron Butler","butleca01","8:58",0,2,0,0,0,NA,0,0,NA,0,1,1,0,0,0,1,1,0,-8,NA,1,2012-11-19
"3206",3206,"201211190SAS","LAC","Matt Barnes","barnema02","34:47:00",5,8,0.625,0,2,0,4,4,1,3,6,9,1,3,0,3,2,14,19,NA,1,2012-11-19
"3207",3207,"201211190SAS","LAC","Jamal Crawford","crawfja01","28:47:00",4,14,0.286,1,3,0.333,2,2,1,0,3,3,0,0,1,4,2,11,13,NA,1,2012-11-19
"3208",3208,"201211190SAS","LAC","Eric Bledsoe","bledser01","22:37",4,9,0.444,0,1,0,1,2,0.5,3,2,5,3,2,1,1,1,9,2,NA,1,2012-11-19
"3209",3209,"201211190SAS","LAC","Ryan Hollins","holliry01","14:24",1,1,1,0,0,NA,0,0,NA,0,3,3,0,0,1,1,6,2,8,NA,1,2012-11-19
"3210",3210,"201211190SAS","LAC","Lamar Odom","odomla01","13:36",1,3,0.333,0,1,0,0,0,NA,0,4,4,1,0,0,0,0,2,8,NA,1,2012-11-19
"3211",3211,"201211190SAS","LAC","Ronny Turiaf","turiaro01","5:10",2,2,1,0,0,NA,0,0,NA,3,0,3,0,0,0,0,1,4,-2,NA,1,2012-11-19
"3212",3212,"201211190SAS","SAS","Danny Green","greenda02","34:47:00",2,11,0.182,2,8,0.25,0,0,NA,2,2,4,2,0,1,1,1,6,-4,NA,1,2012-11-19
"3213",3213,"201211190SAS","SAS","Tim Duncan","duncati01","34:12:00",6,16,0.375,0,0,NA,8,10,0.8,5,9,14,1,0,2,2,2,20,1,NA,1,2012-11-19
"3214",3214,"201211190SAS","SAS","Tony Parker","parketo01","32:40:00",5,11,0.455,1,1,1,0,0,NA,0,2,2,6,2,0,1,1,11,5,NA,1,2012-11-19
"3215",3215,"201211190SAS","SAS","DeJuan Blair","blairde01","17:44",3,7,0.429,0,0,NA,0,0,NA,2,4,6,1,2,0,1,1,6,5,NA,1,2012-11-19
"3216",3216,"201211190SAS","SAS","Stephen Jackson","jacksst02","10:39",1,3,0.333,0,1,0,0,0,NA,0,2,2,0,0,0,0,1,2,8,NA,1,2012-11-19
"3217",3217,"201211190SAS","SAS","Manu Ginobili","ginobma01","27:52:00",3,11,0.273,1,3,0.333,8,10,0.8,0,5,5,5,1,0,3,3,15,-6,NA,1,2012-11-19
"3218",3218,"201211190SAS","SAS","Gary Neal","nealga01","22:55",3,11,0.273,0,2,0,1,1,1,0,1,1,0,0,0,1,4,7,1,NA,1,2012-11-19
"3219",3219,"201211190SAS","SAS","Tiago Splitter","splitti01","16:51",2,2,1,0,0,NA,5,5,1,2,3,5,0,1,0,0,1,9,-1,NA,1,2012-11-19
"3220",3220,"201211190SAS","SAS","Boris Diaw","diawbo01","16:21",0,1,0,0,0,NA,1,2,0.5,2,1,3,0,0,0,2,1,1,-18,NA,1,2012-11-19
"3221",3221,"201211190SAS","SAS","Matt Bonner","bonnema01","10:52",4,6,0.667,2,3,0.667,0,0,NA,0,0,0,1,0,0,0,2,10,3,NA,1,2012-11-19
"3222",3222,"201211190SAS","SAS","Patrick Mills","millspa02","9:55",0,2,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,0,0,-7,NA,1,2012-11-19
"3223",3223,"201211190SAS","SAS","Nando De Colo","decolna01","5:12",0,1,0,0,0,NA,0,0,NA,0,0,0,0,1,0,2,2,0,-12,NA,1,2012-11-19
"3224",3224,"201211190UTA","HOU","Chandler Parsons","parsoch01","34:17:00",3,11,0.273,2,6,0.333,3,4,0.75,1,9,10,5,0,0,2,0,11,-19,NA,1,2012-11-19
"3225",3225,"201211190UTA","HOU","Jeremy Lin","linje01","32:32:00",5,15,0.333,0,2,0,3,3,1,3,3,6,3,0,0,3,2,13,-5,NA,1,2012-11-19
"3226",3226,"201211190UTA","HOU","Omer Asik","asikom01","28:34:00",0,5,0,0,0,NA,2,6,0.333,3,4,7,0,0,2,3,3,2,-11,NA,1,2012-11-19
"3227",3227,"201211190UTA","HOU","Patrick Patterson","pattepa01","20:53",8,14,0.571,1,1,1,2,2,1,1,0,1,0,0,2,2,3,19,-9,NA,1,2012-11-19
"3228",3228,"201211190UTA","HOU","James Harden","hardeja01","17:29",1,6,0.167,1,2,0.5,3,3,1,0,2,2,3,0,1,2,2,6,-13,NA,1,2012-11-19
"3229",3229,"201211190UTA","HOU","Marcus Morris","morrima03","30:10:00",3,8,0.375,1,3,0.333,5,5,1,0,4,4,2,2,1,0,5,12,11,NA,1,2012-11-19
"3230",3230,"201211190UTA","HOU","Terrence Jones","joneste01","29:47:00",4,12,0.333,0,1,0,4,4,1,4,4,8,0,0,0,0,0,12,-2,NA,1,2012-11-19
"3231",3231,"201211190UTA","HOU","Toney Douglas","douglto01","15:28",2,7,0.286,1,3,0.333,0,0,NA,0,2,2,4,1,0,2,1,5,-6,NA,1,2012-11-19
"3232",3232,"201211190UTA","HOU","Greg Smith","smithgr02","15:15",2,3,0.667,0,0,NA,2,4,0.5,3,5,8,0,0,3,0,3,6,6,NA,1,2012-11-19
"3233",3233,"201211190UTA","HOU","Daequan Cook","cookda02","14:04",2,5,0.4,1,3,0.333,0,0,NA,0,0,0,1,1,0,0,3,5,-1,NA,1,2012-11-19
"3234",3234,"201211190UTA","HOU","Cole Aldrich","aldrico01","1:31",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-6,NA,1,2012-11-19
"3235",3235,"201211190UTA","UTA","Mo Williams","willima01","26:56:00",4,11,0.364,0,1,0,0,0,NA,0,1,1,7,0,0,1,3,8,-3,NA,1,2012-11-19
"3236",3236,"201211190UTA","UTA","Al Jefferson","jeffeal01","26:39:00",4,12,0.333,0,0,NA,6,7,0.857,4,12,16,2,1,1,1,1,14,0,NA,1,2012-11-19
"3237",3237,"201211190UTA","UTA","Paul Millsap","millspa01","26:00:00",4,9,0.444,0,0,NA,2,2,1,3,5,8,1,0,2,0,3,10,-1,NA,1,2012-11-19
"3238",3238,"201211190UTA","UTA","Randy Foye","foyera01","24:15:00",4,11,0.364,4,7,0.571,2,2,1,0,1,1,1,0,1,1,0,14,-5,NA,1,2012-11-19
"3239",3239,"201211190UTA","UTA","Derrick Favors","favorde01","23:12",2,7,0.286,0,0,NA,4,4,1,3,5,8,0,1,2,1,5,8,10,NA,1,2012-11-19
"3240",3240,"201211190UTA","UTA","Marvin Williams","willima02","24:39:00",4,9,0.444,3,3,1,1,2,0.5,0,4,4,1,0,0,0,0,12,18,NA,1,2012-11-19
"3241",3241,"201211190UTA","UTA","Enes Kanter","kanteen01","21:21",3,5,0.6,0,0,NA,0,0,NA,2,6,8,3,0,3,4,2,6,11,NA,1,2012-11-19
"3242",3242,"201211190UTA","UTA","Jamaal Tinsley","tinslja01","21:04",1,4,0.25,1,3,0.333,0,0,NA,1,4,5,11,1,0,3,2,3,14,NA,1,2012-11-19
"3243",3243,"201211190UTA","UTA","Gordon Hayward","haywago01","18:38",5,12,0.417,1,5,0.2,4,5,0.8,0,2,2,1,0,1,2,3,15,24,NA,1,2012-11-19
"3244",3244,"201211190UTA","UTA","DeMarre Carroll","carrode01","13:01",4,6,0.667,0,1,0,0,0,NA,1,1,2,3,1,0,1,1,8,11,NA,1,2012-11-19
"3245",3245,"201211190UTA","UTA","Jeremy Evans","evansje01","5:07",1,1,1,0,0,NA,0,1,0,0,0,0,0,0,1,0,2,2,-8,NA,1,2012-11-19
"3246",3246,"201211190UTA","UTA","Alec Burks","burksal01","5:07",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-8,NA,1,2012-11-19
"3247",3247,"201211190UTA","UTA","Kevin Murphy","murphke01","4:01",1,3,0.333,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,-8,NA,1,2012-11-19
"3248",3248,"201211190WAS","IND","David West","westda01","36:46:00",10,14,0.714,0,0,NA,10,10,1,3,5,8,3,1,4,4,2,30,14,NA,1,2012-11-19
"3249",3249,"201211190WAS","IND","George Hill","hillge01","35:39:00",2,11,0.182,0,6,0,8,8,1,0,3,3,5,1,0,2,4,12,24,NA,1,2012-11-19
"3250",3250,"201211190WAS","IND","Roy Hibbert","hibbero01","33:11:00",8,10,0.8,0,0,NA,4,5,0.8,3,9,12,3,0,4,2,5,20,21,NA,1,2012-11-19
"3251",3251,"201211190WAS","IND","Paul George","georgpa01","24:13:00",2,7,0.286,1,3,0.333,1,2,0.5,1,4,5,2,0,0,3,4,6,-3,NA,1,2012-11-19
"3252",3252,"201211190WAS","IND","Lance Stephenson","stephla01","16:20",1,1,1,0,0,NA,0,1,0,0,3,3,4,1,0,1,3,2,16,NA,1,2012-11-19
"3253",3253,"201211190WAS","IND","Sam Young","youngsa01","35:25:00",4,10,0.4,1,6,0.167,0,0,NA,1,7,8,1,0,0,2,5,9,1,NA,1,2012-11-19
"3254",3254,"201211190WAS","IND","Gerald Green","greenge01","16:41",4,8,0.5,1,2,0.5,0,0,NA,0,1,1,1,0,0,0,0,9,-1,NA,1,2012-11-19
"3255",3255,"201211190WAS","IND","D.J. Augustin","augusdj01","15:42",1,5,0.2,0,2,0,2,3,0.667,0,1,1,1,1,0,1,2,4,-16,NA,1,2012-11-19
"3256",3256,"201211190WAS","IND","Ian Mahinmi","mahinia01","14:49",1,3,0.333,0,0,NA,0,0,NA,0,2,2,0,1,2,3,1,2,-14,NA,1,2012-11-19
"3257",3257,"201211190WAS","IND","Tyler Hansbrough","hansbty01","11:14",1,1,1,0,0,NA,0,0,NA,0,3,3,0,0,0,2,1,2,-7,NA,1,2012-11-19
"3258",3258,"201211190WAS","WAS","Jordan Crawford","crawfjo02","24:11:00",2,12,0.167,0,4,0,7,7,1,2,1,3,2,0,0,3,1,11,-17,NA,1,2012-11-19
"3259",3259,"201211190WAS","WAS","A.J. Price","priceaj01","23:40",2,8,0.25,1,5,0.2,3,3,1,1,1,2,0,1,0,0,0,8,-16,NA,1,2012-11-19
"3260",3260,"201211190WAS","WAS","Jan Vesely","veselja01","21:48",2,4,0.5,0,0,NA,1,1,1,2,0,2,1,0,0,1,3,5,6,NA,1,2012-11-19
"3261",3261,"201211190WAS","WAS","Trevor Ariza","arizatr01","13:18",2,9,0.222,0,2,0,2,2,1,2,3,5,2,0,0,1,1,6,-22,NA,1,2012-11-19
"3262",3262,"201211190WAS","WAS","Emeka Okafor","okafoem01","9:06",0,4,0,0,0,NA,1,2,0.5,1,0,1,0,0,0,0,0,1,-15,NA,1,2012-11-19
"3263",3263,"201211190WAS","WAS","Bradley Beal","bealbr01","29:53:00",4,12,0.333,3,6,0.5,7,9,0.778,0,2,2,1,1,2,2,1,18,4,NA,1,2012-11-19
"3264",3264,"201211190WAS","WAS","Kevin Seraphin","serapke01","25:21:00",6,11,0.545,0,0,NA,1,2,0.5,2,1,3,0,0,0,3,5,13,-1,NA,1,2012-11-19
"3265",3265,"201211190WAS","WAS","Shaun Livingston","livinsh01","24:20:00",5,12,0.417,0,0,NA,0,0,NA,0,2,2,4,0,0,0,1,10,9,NA,1,2012-11-19
"3266",3266,"201211190WAS","WAS","Trevor Booker","booketr01","23:25",2,5,0.4,0,0,NA,0,0,NA,3,5,8,0,4,0,0,5,4,-11,NA,1,2012-11-19
"3267",3267,"201211190WAS","WAS","Chris Singleton","singlch01","19:55",4,5,0.8,0,0,NA,1,5,0.2,0,5,5,0,2,0,0,2,9,15,NA,1,2012-11-19
"3268",3268,"201211190WAS","WAS","Earl Barron","barroea01","14:55",2,4,0.5,0,0,NA,0,0,NA,1,2,3,1,2,0,0,5,4,11,NA,1,2012-11-19
"3269",3269,"201211190WAS","WAS","Martell Webster","webstma02","10:08",0,1,0,0,0,NA,0,0,NA,0,0,0,2,0,0,0,3,0,2,NA,1,2012-11-19
"3270",3270,"201211200LAL","BRK","Joe Johnson","johnsjo02","41:03:00",6,16,0.375,2,7,0.286,0,0,NA,0,3,3,6,0,0,1,2,14,-8,NA,1,2012-11-20
"3271",3271,"201211200LAL","BRK","Deron Williams","willide01","36:45:00",6,18,0.333,3,9,0.333,7,8,0.875,1,3,4,10,1,0,0,5,22,-18,NA,1,2012-11-20
"3272",3272,"201211200LAL","BRK","Brook Lopez","lopezbr01","36:37:00",11,18,0.611,0,0,NA,1,3,0.333,3,4,7,3,1,0,4,4,23,-5,NA,1,2012-11-20
"3273",3273,"201211200LAL","BRK","Gerald Wallace","wallage01","29:10:00",2,7,0.286,0,3,0,3,4,0.75,2,3,5,2,5,3,2,4,7,1,NA,1,2012-11-20
"3274",3274,"201211200LAL","BRK","Kris Humphries","humphkr01","27:29:00",2,10,0.2,0,0,NA,3,4,0.75,3,7,10,0,0,0,1,5,7,-3,NA,1,2012-11-20
"3275",3275,"201211200LAL","BRK","Reggie Evans","evansre01","19:20",0,0,NA,0,0,NA,0,0,NA,4,7,11,0,0,0,1,3,0,0,NA,1,2012-11-20
"3276",3276,"201211200LAL","BRK","C.J. Watson","watsocj01","18:54",3,7,0.429,2,3,0.667,0,0,NA,1,0,1,3,0,0,1,0,8,5,NA,1,2012-11-20
"3277",3277,"201211200LAL","BRK","Jerry Stackhouse","stackje01","15:28",2,3,0.667,0,1,0,1,2,0.5,0,1,1,0,0,0,1,0,5,-1,NA,1,2012-11-20
"3278",3278,"201211200LAL","BRK","Andray Blatche","blatcan01","11:06",2,3,0.667,0,0,NA,0,0,NA,0,3,3,0,0,0,1,2,4,0,NA,1,2012-11-20
"3279",3279,"201211200LAL","BRK","MarShon Brooks","brookma01","4:06",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,1,1,0,4,NA,1,2012-11-20
"3280",3280,"201211200LAL","BRK","Josh Childress","childjo01","0:03",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,2012-11-20
"3281",3281,"201211200LAL","LAL","Dwight Howard","howardw01","40:53:00",8,11,0.727,0,0,NA,7,19,0.368,4,11,15,3,1,4,3,5,23,-4,NA,1,2012-11-20
"3282",3282,"201211200LAL","LAL","Metta World Peace","artesro01","38:47:00",6,13,0.462,4,9,0.444,1,2,0.5,1,7,8,0,2,0,2,2,17,7,NA,1,2012-11-20
"3283",3283,"201211200LAL","LAL","Kobe Bryant","bryanko01","38:36:00",8,15,0.533,1,4,0.25,8,10,0.8,0,4,4,5,1,0,3,4,25,20,NA,1,2012-11-20
"3284",3284,"201211200LAL","LAL","Pau Gasol","gasolpa01","38:36:00",7,15,0.467,0,0,NA,3,6,0.5,3,8,11,7,0,1,2,1,17,20,NA,1,2012-11-20
"3285",3285,"201211200LAL","LAL","Darius Morris","morrida01","22:36",1,4,0.25,1,2,0.5,0,0,NA,0,1,1,3,1,0,1,4,3,-1,NA,1,2012-11-20
"3286",3286,"201211200LAL","LAL","Chris Duhon","duhonch01","25:24:00",2,3,0.667,0,1,0,0,0,NA,0,1,1,3,0,0,0,1,4,6,NA,1,2012-11-20
"3287",3287,"201211200LAL","LAL","Jordan Hill","hilljo01","16:31",2,7,0.286,0,1,0,0,0,NA,0,2,2,0,0,0,0,1,4,-6,NA,1,2012-11-20
"3288",3288,"201211200LAL","LAL","Jodie Meeks","meeksjo01","9:24",0,2,0,0,2,0,0,0,NA,0,1,1,0,0,0,0,0,0,-15,NA,1,2012-11-20
"3289",3289,"201211200LAL","LAL","Antawn Jamison","jamisan01","9:13",1,3,0.333,0,2,0,0,0,NA,0,0,0,2,0,0,0,0,2,-2,NA,1,2012-11-20
"3290",3290,"201211200NOH","NYK","Raymond Felton","feltora01","29:33:00",5,8,0.625,5,6,0.833,0,0,NA,0,2,2,6,0,0,1,2,15,30,NA,1,2012-11-20
"3291",3291,"201211200NOH","NYK","Carmelo Anthony","anthoca01","28:04:00",12,22,0.545,2,6,0.333,3,3,1,2,4,6,4,0,0,1,1,29,24,NA,1,2012-11-20
"3292",3292,"201211200NOH","NYK","Jason Kidd","kiddja01","25:17:00",1,3,0.333,1,3,0.333,0,0,NA,1,4,5,4,2,1,1,0,3,16,NA,1,2012-11-20
"3293",3293,"201211200NOH","NYK","Ronnie Brewer","brewero02","23:19",2,5,0.4,2,5,0.4,4,7,0.571,0,1,1,0,0,0,0,2,10,17,NA,1,2012-11-20
"3294",3294,"201211200NOH","NYK","Tyson Chandler","chandty01","18:44",2,2,1,0,0,NA,3,5,0.6,4,8,12,0,0,0,0,2,7,20,NA,1,2012-11-20
"3295",3295,"201211200NOH","NYK","J.R. Smith","smithjr01","29:31:00",6,14,0.429,1,3,0.333,2,2,1,2,3,5,1,2,0,1,1,15,1,NA,1,2012-11-20
"3296",3296,"201211200NOH","NYK","Steve Novak","novakst01","24:52:00",3,12,0.25,2,10,0.2,0,0,NA,0,0,0,0,0,0,0,1,8,2,NA,1,2012-11-20
"3297",3297,"201211200NOH","NYK","Rasheed Wallace","wallara01","18:28",2,8,0.25,0,1,0,2,2,1,2,5,7,0,0,1,1,5,6,13,NA,1,2012-11-20
"3298",3298,"201211200NOH","NYK","James White","whiteja02","14:59",3,4,0.75,1,2,0.5,0,0,NA,0,4,4,0,1,0,0,1,7,4,NA,1,2012-11-20
"3299",3299,"201211200NOH","NYK","Pablo Prigioni","prigipa01","13:16",0,0,NA,0,0,NA,0,0,NA,0,2,2,2,1,0,3,1,0,-9,NA,1,2012-11-20
"3300",3300,"201211200NOH","NYK","Marcus Camby","cambyma01","10:28",0,3,0,0,0,NA,0,0,NA,2,2,4,1,0,1,1,3,0,-9,NA,1,2012-11-20
"3301",3301,"201211200NOH","NYK","Chris Copeland","copelch01","3:29",1,2,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,1,1,2,1,NA,1,2012-11-20
"3302",3302,"201211200NOH","NOH","Austin Rivers","riverau01","36:00:00",5,10,0.5,2,3,0.667,2,7,0.286,0,1,1,4,0,1,0,1,14,-11,NA,1,2012-11-20
"3303",3303,"201211200NOH","NOH","Ryan Anderson","anderry01","30:39:00",6,14,0.429,3,8,0.375,0,0,NA,0,8,8,1,0,0,0,5,15,-17,NA,1,2012-11-20
"3304",3304,"201211200NOH","NOH","Greivis Vasquez","vasqugr01","30:25:00",4,9,0.444,0,0,NA,2,2,1,0,2,2,6,0,0,1,1,10,-21,NA,1,2012-11-20
"3305",3305,"201211200NOH","NOH","Al-Farouq Aminu","aminual01","24:28:00",0,4,0,0,0,NA,0,0,NA,0,6,6,1,1,0,2,2,0,-9,NA,1,2012-11-20
"3306",3306,"201211200NOH","NOH","Robin Lopez","lopezro01","16:36",5,7,0.714,0,0,NA,1,3,0.333,4,1,5,0,0,1,5,5,11,-10,NA,1,2012-11-20
"3307",3307,"201211200NOH","NOH","Lance Thomas","thomala01","22:20",3,4,0.75,0,0,NA,2,2,1,0,3,3,0,0,1,1,1,8,0,NA,1,2012-11-20
"3308",3308,"201211200NOH","NOH","Brian Roberts","roberbr01","21:11",4,9,0.444,3,4,0.75,2,2,1,0,1,1,2,0,0,1,1,13,-3,NA,1,2012-11-20
"3309",3309,"201211200NOH","NOH","Jason Smith","smithja02","19:07",0,3,0,0,0,NA,4,4,1,1,1,2,0,0,0,1,3,4,-15,NA,1,2012-11-20
"3310",3310,"201211200NOH","NOH","Xavier Henry","henryxa01","18:56",2,6,0.333,0,0,NA,0,0,NA,0,4,4,0,1,0,1,0,4,-10,NA,1,2012-11-20
"3311",3311,"201211200NOH","NOH","Roger Mason","masonro01","18:24",0,3,0,0,3,0,1,1,1,0,4,4,2,0,0,1,1,1,-6,NA,1,2012-11-20
"3312",3312,"201211200NOH","NOH","Darius Miller","milleda01","1:54",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-8,NA,1,2012-11-20
"3313",3313,"201211200PHI","TOR","DeMar DeRozan","derozde01","42:13:00",8,18,0.444,1,1,1,7,8,0.875,1,3,4,0,1,0,0,0,24,-11,NA,1,2012-11-20
"3314",3314,"201211200PHI","TOR","Andrea Bargnani","bargnan01","39:42:00",10,21,0.476,2,5,0.4,0,2,0,2,5,7,1,1,0,2,2,22,-8,NA,1,2012-11-20
"3315",3315,"201211200PHI","TOR","Jose Calderon","caldejo01","37:13:00",5,10,0.5,1,3,0.333,2,2,1,0,5,5,12,0,0,2,1,13,-10,NA,1,2012-11-20
"3316",3316,"201211200PHI","TOR","Jonas Valanciunas","valanjo01","25:09:00",3,6,0.5,0,0,NA,5,6,0.833,3,8,11,3,0,3,1,0,11,7,NA,1,2012-11-20
"3317",3317,"201211200PHI","TOR","Dominic McGuire","mcguido01","20:13",2,3,0.667,0,0,NA,0,0,NA,0,4,4,2,0,1,1,4,4,5,NA,1,2012-11-20
"3318",3318,"201211200PHI","TOR","Kyle Lowry","lowryky01","29:51:00",5,14,0.357,0,4,0,3,8,0.375,1,6,7,7,0,0,2,5,13,-9,NA,1,2012-11-20
"3319",3319,"201211200PHI","TOR","Amir Johnson","johnsam01","20:57",2,5,0.4,0,1,0,0,0,NA,2,1,3,1,0,1,2,6,4,-10,NA,1,2012-11-20
"3320",3320,"201211200PHI","TOR","Linas Kleiza","kleizli01","16:39",1,3,0.333,0,2,0,3,3,1,1,2,3,0,0,0,0,0,5,-6,NA,1,2012-11-20
"3321",3321,"201211200PHI","TOR","Ed Davis","davised01","5:27",1,2,0.5,0,0,NA,0,0,NA,1,2,3,1,0,0,0,1,2,0,NA,1,2012-11-20
"3322",3322,"201211200PHI","TOR","John Lucas","lucasjo02","2:37",0,0,NA,0,0,NA,0,0,NA,1,0,1,1,0,0,1,1,0,2,NA,1,2012-11-20
"3323",3323,"201211200PHI","PHI","Jrue Holiday","holidjr01","39:55:00",9,21,0.429,1,5,0.2,0,0,NA,2,6,8,12,3,0,3,4,19,3,NA,1,2012-11-20
"3324",3324,"201211200PHI","PHI","Thaddeus Young","youngth01","38:36:00",8,13,0.615,0,0,NA,2,4,0.5,2,5,7,2,2,2,2,2,18,10,NA,1,2012-11-20
"3325",3325,"201211200PHI","PHI","Evan Turner","turneev01","33:16:00",5,14,0.357,0,0,NA,2,2,1,0,5,5,4,0,0,1,3,12,-5,NA,1,2012-11-20
"3326",3326,"201211200PHI","PHI","Jason Richardson","richaja01","32:00:00",7,14,0.5,4,9,0.444,3,3,1,0,3,3,0,1,1,0,4,21,17,NA,1,2012-11-20
"3327",3327,"201211200PHI","PHI","Kwame Brown","brownkw01","5:33",0,0,NA,0,0,NA,0,0,NA,2,0,2,0,0,0,0,1,0,-10,NA,1,2012-11-20
"3328",3328,"201211200PHI","PHI","Nick Young","youngni01","29:10:00",7,13,0.538,3,8,0.375,6,6,1,1,2,3,4,0,1,0,2,23,5,NA,1,2012-11-20
"3329",3329,"201211200PHI","PHI","Lavoy Allen","allenla01","24:59:00",1,4,0.25,0,0,NA,2,2,1,2,4,6,1,0,4,1,3,4,6,NA,1,2012-11-20
"3330",3330,"201211200PHI","PHI","Spencer Hawes","hawessp01","16:21",2,4,0.5,0,0,NA,2,2,1,0,3,3,2,0,2,1,2,6,-3,NA,1,2012-11-20
"3331",3331,"201211200PHI","PHI","Dorell Wright","wrighdo01","14:09",1,2,0.5,1,2,0.5,0,0,NA,0,4,4,0,0,0,0,1,3,17,NA,1,2012-11-20
"3332",3332,"201211200PHI","PHI","Royal Ivey","iveyro01","6:03",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,0,NA,1,2012-11-20
"3333",3333,"201211210ATL","WAS","Kevin Seraphin","serapke01","33:16:00",10,21,0.476,0,0,NA,1,2,0.5,3,7,10,1,0,2,1,3,21,-11,NA,1,2012-11-21
"3334",3334,"201211210ATL","WAS","Bradley Beal","bealbr01","26:09:00",3,8,0.375,0,3,0,0,0,NA,3,2,5,4,1,1,5,6,6,-2,NA,1,2012-11-21
"3335",3335,"201211210ATL","WAS","Shaun Livingston","livinsh01","21:40",1,5,0.2,0,2,0,0,0,NA,0,1,1,4,0,1,1,1,2,-13,NA,1,2012-11-21
"3336",3336,"201211210ATL","WAS","Jordan Crawford","crawfjo02","19:46",4,8,0.5,1,2,0.5,0,0,NA,1,3,4,1,0,0,2,1,9,-14,NA,1,2012-11-21
"3337",3337,"201211210ATL","WAS","Jan Vesely","veselja01","8:24",0,1,0,0,0,NA,0,0,NA,1,2,3,0,0,0,1,4,0,-4,NA,1,2012-11-21
"3338",3338,"201211210ATL","WAS","Trevor Ariza","arizatr01","39:48:00",3,14,0.214,2,5,0.4,4,4,1,4,11,15,1,3,0,3,1,12,7,NA,1,2012-11-21
"3339",3339,"201211210ATL","WAS","A.J. Price","priceaj01","31:24:00",6,11,0.545,1,3,0.333,1,1,1,2,1,3,7,0,0,1,2,14,12,NA,1,2012-11-21
"3340",3340,"201211210ATL","WAS","Chris Singleton","singlch01","29:24:00",3,3,1,1,1,1,1,2,0.5,0,5,5,0,1,0,2,4,8,-2,NA,1,2012-11-21
"3341",3341,"201211210ATL","WAS","Martell Webster","webstma02","20:10",4,8,0.5,2,4,0.5,0,0,NA,2,5,7,0,2,1,3,2,10,8,NA,1,2012-11-21
"3342",3342,"201211210ATL","WAS","Nene Hilario","hilarne01","19:43",2,5,0.4,0,0,NA,8,10,0.8,0,1,1,0,1,1,1,3,12,9,NA,1,2012-11-21
"3343",3343,"201211210ATL","WAS","Emeka Okafor","okafoem01","15:17",2,5,0.4,0,0,NA,2,5,0.4,3,1,4,2,0,0,0,0,6,5,NA,1,2012-11-21
"3344",3344,"201211210ATL","ATL","Jeff Teague","teaguje01","45:41:00",6,18,0.333,0,2,0,2,2,1,0,1,1,7,2,0,0,3,14,13,NA,1,2012-11-21
"3345",3345,"201211210ATL","ATL","Kyle Korver","korveky01","44:38:00",5,12,0.417,5,12,0.417,1,1,1,0,2,2,1,1,0,1,5,16,9,NA,1,2012-11-21
"3346",3346,"201211210ATL","ATL","Al Horford","horfoal01","43:40:00",7,17,0.412,0,0,NA,1,10,0.1,2,7,9,10,1,1,1,3,15,10,NA,1,2012-11-21
